2022-01-29 19:07:48 status unpacked openjdk-8-jdk:armhf 8u212-b01-1+rpi1
2022-01-29 19:07:48 status half-installed openjdk-8-jdk:armhf 8u212-b01-1+rpi1
2022-01-29 19:07:50 status unpacked openjdk-8-jdk:armhf 8u312-b07-1~deb9u1
2022-01-29 19:07:51 upgrade openjdk-8-jre:armhf 8u212-b01-1+rpi1 8u312-b07-1~deb9u1
2022-01-29 19:07:51 status half-configured openjdk-8-jre:armhf 8u212-b01-1+rpi1
2022-01-29 19:07:51 status unpacked openjdk-8-jre:armhf 8u212-b01-1+rpi1
2022-01-29 19:07:51 status half-installed openjdk-8-jre:armhf 8u212-b01-1+rpi1
2022-01-29 19:07:51 status triggers-pending gnome-menus:armhf 3.31.4-3
2022-01-29 19:07:51 status triggers-pending desktop-file-utils:armhf 0.23-4
2022-01-29 19:07:51 status triggers-pending mime-support:all 3.62
2022-01-29 19:07:51 status triggers-pending hicolor-icon-theme:all 0.17-2
2022-01-29 19:07:51 status unpacked openjdk-8-jre:armhf 8u312-b07-1~deb9u1
2022-01-29 19:07:52 upgrade openjdk-8-jre-headless:armhf 8u212-b01-1+rpi1 8u312-b07-1~deb9u1
2022-01-29 19:07:52 status half-configured openjdk-8-jre-headless:armhf 8u212-b01-1+rpi1
2022-01-29 19:07:52 status unpacked openjdk-8-jre-headless:armhf 8u212-b01-1+rpi1
2022-01-29 19:07:52 status half-installed openjdk-8-jre-headless:armhf 8u212-b01-1+rpi1
2022-01-29 19:08:34 status unpacked openjdk-8-jre-headless:armhf 8u312-b07-1~deb9u1
2022-01-29 19:08:35 upgrade openjdk-8-jdk-headless:armhf 8u212-b01-1+rpi1 8u312-b07-1~deb9u1
2022-01-29 19:08:35 status half-configured openjdk-8-jdk-headless:armhf 8u212-b01-1+rpi1
2022-01-29 19:08:35 status unpacked openjdk-8-jdk-headless:armhf 8u212-b01-1+rpi1
2022-01-29 19:08:35 status half-installed openjdk-8-jdk-headless:armhf 8u212-b01-1+rpi1
2022-01-29 19:08:46 status unpacked openjdk-8-jdk-headless:armhf 8u312-b07-1~deb9u1
2022-01-29 19:08:46 upgrade python-pil:armhf 5.4.1-2+deb10u2 5.4.1-2+deb10u3
2022-01-29 19:08:46 status half-configured python-pil:armhf 5.4.1-2+deb10u2
